# Training-script output capture
# Generated: 2026-05-15T17:26:47
# UUID:      490ba63b-7107-48c0-b930-43dfe5a26feb
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-15 17:26:47,082] A new study created in memory with name: no-name-7aa7a9ba-56d6-4069-b08a-3c505e252fbc
[I 2026-05-15 17:27:44,646] Trial 72 finished with values: [0.7261060204954654, 0.8932665926763568] and parameters: {'n_estimators': 415, 'learning_rate': 0.019721610970574007, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 17:27:45,378] Trial 73 finished with values: [0.7534859049312934, 0.80651870979349] and parameters: {'n_estimators': 378, 'learning_rate': 0.10519936117151477, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 2}.
[I 2026-05-15 17:27:45,971] Trial 74 finished with values: [0.7426284552657941, 0.985199301373887] and parameters: {'n_estimators': 218, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-15 17:27:46,822] Trial 75 finished with values: [0.7316024104239598, 0.9641323133619165] and parameters: {'n_estimators': 294, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.9652962210225885, 'min_child_weight': 1}.
[I 2026-05-15 17:27:47,548] Trial 76 finished with values: [0.7309480521839223, 0.6363010851175154] and parameters: {'n_estimators': 355, 'learning_rate': 0.01607123851203988, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 7}.
[I 2026-05-15 17:27:48,162] Trial 77 finished with values: [0.7599591966198632, 0.7354899447211161] and parameters: {'n_estimators': 280, 'learning_rate': 0.1538583627271404, 'subsample': 0.8006065178748798, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 8}.
[I 2026-05-15 17:27:48,861] Trial 78 finished with values: [0.7061509705605753, 0.7520003135505456] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8599855723111061, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 17:27:49,471] Trial 79 finished with values: [0.7490733037070066, 0.6803344897767416] and parameters: {'n_estimators': 128, 'learning_rate': 0.05388108577817234, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 17:27:50,317] Trial 80 finished with values: [0.7413360690797871, 0.6750891738879672] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.8807867509030813, 'min_child_weight': 7}.
[I 2026-05-15 17:27:51,200] Trial 81 finished with values: [0.7092778311827559, 1.0140191923330442] and parameters: {'n_estimators': 408, 'learning_rate': 0.2063696403063293, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 5}.
[I 2026-05-15 17:27:51,761] Trial 82 finished with values: [0.7185461831363265, 0.752866250600582] and parameters: {'n_estimators': 156, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.7351980627406143, 'min_child_weight': 4}.
[I 2026-05-15 17:27:52,677] Trial 83 finished with values: [0.7221276045235654, 0.6543149576321999] and parameters: {'n_estimators': 414, 'learning_rate': 0.16111511355977057, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 1}.
[I 2026-05-15 17:27:53,366] Trial 84 finished with values: [0.7490949174337107, 1.1137533752851545] and parameters: {'n_estimators': 207, 'learning_rate': 0.1131225105716033, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 17:27:53,951] Trial 85 finished with values: [0.7154347597651652, 0.8199701346730087] and parameters: {'n_estimators': 215, 'learning_rate': 0.019721610970574007, 'subsample': 0.8313120563984696, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 17:27:54,504] Trial 86 finished with values: [0.7286293563705544, 0.664184960294363] and parameters: {'n_estimators': 66, 'learning_rate': 0.04872420129560894, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 10}.
[I 2026-05-15 17:27:55,235] Trial 87 finished with values: [0.7303704615922918, 0.7177332182300146] and parameters: {'n_estimators': 294, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 5}.
