# Training-script output capture
# Generated: 2026-05-15T17:20:39
# UUID:      3d3b2cb1-be4f-4f4d-b8db-7cc01ee383b6
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUPRC_slope/auprc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUPRC_slope search (500 trials, seed=42)...
[I 2026-05-15 17:20:39,582] A new study created in memory with name: no-name-b5b8493c-9164-4bc2-941b-3e25c6108f4b
[I 2026-05-15 17:21:31,382] Trial 65 finished with values: [0.23509111586575507, 0.7359958758958169] and parameters: {'n_estimators': 487, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 17:21:31,978] Trial 66 finished with values: [0.21119537753679346, 0.7422251438029075] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 17:21:32,868] Trial 67 finished with values: [0.20202918066082032, 0.7643205037128229] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 1}.
[I 2026-05-15 17:21:33,626] Trial 68 finished with values: [0.24299670654653024, 0.8129244457378707] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 5}.
[I 2026-05-15 17:21:34,340] Trial 69 finished with values: [0.1926089061032053, 0.744420778145621] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 4}.
[I 2026-05-15 17:21:35,100] Trial 70 finished with values: [0.2646937067941187, 0.6747520216270948] and parameters: {'n_estimators': 238, 'learning_rate': 0.16155001304356414, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 17:21:35,796] Trial 71 finished with values: [0.226149827647549, 0.7569802263585342] and parameters: {'n_estimators': 272, 'learning_rate': 0.028180680291847244, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
[I 2026-05-15 17:21:36,679] Trial 72 finished with values: [0.20980241131472405, 0.8932665926763568] and parameters: {'n_estimators': 415, 'learning_rate': 0.019721610970574007, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 17:21:37,438] Trial 73 finished with values: [0.23856142309905443, 0.80651870979349] and parameters: {'n_estimators': 378, 'learning_rate': 0.10519936117151477, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 2}.
[I 2026-05-15 17:21:37,998] Trial 74 finished with values: [0.23826369061308855, 0.985199301373887] and parameters: {'n_estimators': 218, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
